text,trans,type
ノクチル\nのキーホルダー,녹칠\n의 키홀더,
ノクチルの\nキーホルダー,녹칠의\n키홀더,
ノクチル\nのタオル,녹칠\n의 타올,
プロデュース開始時にノクチルに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 녹칠에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
ノクチルのタオル,녹칠의 타올,
ノクチルに所属しているサポートアイドルの絆が中アップします,녹칠에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
ノクチルのキーホルダー,녹칠의 키홀더,
ノクチルに所属しているサポートアイドルの絆が小アップします,녹칠에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
プロデュース開始時にノクチルに所属しているサポートアイドルの絆が小アップします,프로듀스 시작시에 녹칠에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
ノクチルのTシャツ,녹칠의 티셔츠,
プロデュース開始時にノクチルに所属しているサポートアイドルの絆が大アップします,프로듀스 시작시에 녹칠에 소속해 있는 서포트 아이돌의 인연이 大 올라갑니다,
ノクチルSR以上確定ガシャチケット,녹칠 SR이상 확정 가챠 티켓,
ノクチルSR以上確定ガシャが引けるチケットです,녹칠 SR이상 확정 가챠를 시행하는 티켓입니다,
フェザージュエル100個です,페더쥬얼 100개 입니다
フェザージュエル×100,페더쥬얼×100
ダンス実践知識本,댄스 실천 지식책
ビジュアル実践知識本,비주얼 실천 지식책
ボーカル実践知識本,보컬 실천 지식책
プロデュースアイドル応援パッケージ,프로듀스 아이돌 응원 패키지
プロデュースアイドル\n応援パッケージ,프로듀스 아이돌\n응원 패키지
プロデュース開始時にDance＋90します,프로듀스 시작시에 Dance＋90
プロデュース開始時にVisual＋90します,프로듀스 시작시에 Visual＋90
プロデュース開始時にVocal＋90します,프로듀스 시작시에 Vocal＋90
金色のメッセージカード,금빛 메세지 카드
高級ヒーリングフルーツ\nタルト,고급 힐링 과일\n타르트
SSRサポートアイドル確定 特別パッケージ,SSR 서포트 아이돌 확정 특별 패키지
SSRサポートアイドル確定\n特別パッケージ,SSR 서포트 아이돌 확정\n특별 패키지
使用時プロデュースアイドルの体力が大回復します,사용시 프로듀스 아이돌의 체력이 大 회복합니다,
プロデュース中の失敗＆大失敗で発生するデメリットを3回無効にします【ファン感謝祭編：失敗＆大失敗発生時にもアイデアが埋まります】,"프로듀스중 실패＆대실패로 발생하는 디메리트를 3회 무효로 함【팬 감사제편:실패＆대실패 발생시에도 아이디어가 메워집니다】",
使用時流行1位をVocalに変更し、2位3位はランダムで変更します,"사용시 유행 1위를 Vocal로 변경하고, 2위 3위는 랜덤으로 변경합니다"
Vocal流行雑誌,"Vocal 유행 잡지"
使用時流行1位をDanceに変更し、2位3位はランダムで変更します,"사용시 유행 1위를 Dance로 변경하고, 2위 3위는 랜덤으로 변경합니다"
Dance流行雑誌,"Dance 유행 잡지"
使用時流行1位をVisualに変更し、2位3位はランダムで変更します,"사용시 유행 1위를 Visual로 변경하고, 2위 3위는 랜덤으로 변경합니다"
