name,ja,zh
common.remainingMinutes,あと%{minutes}分,앞으로 %{minutes}분
common.remainingHours,あと%{hours}時間%{minutes}分,앞으로 %{hours}시간%{minutes}분
fortuneResultTweet.text1.normal,今日の運勢は・・・【%{rankName}】！素敵な1日になりそう！\n\n,오늘의 운세는・・・【%{rankName}】! 멋진 하루가 될 것 같다!\n\n
fortuneResultTweet.text1.special,今日の運勢は・・・【%{rankName}】！最高の運勢で、特別な1日になりそう！\n\n,"오늘의 운세는・・・【%{rankName}】! 최고의 운세로, 특별한 하루가 될 것 같다!\n\n"
fortuneResultTweet.text2,新年特別企画 ,신년특별기획 
fortuneResultTweet.hashTag,シャニマスおみくじ,샤니마스운세쪽지
fortuneResultTweet.text3, 開催中！\nゲームにログインしておみくじを引こう！\n, 개최중!\n게임에 로그인해 제비를 뽑자!\n
fortuneEffectPop.title,ご利益内容,공덕 내용
fortuneEffectPop.fesMoneyComment,おみくじのご利益により、フェスリハーサルや\rグレードフェスで「獲得マニーアップ」が発生!\rあと%{times}回有効！！,"운세쪽지의 공덕에 의해, 페스리허설이나\r그레이드페스로 「획득 머니업」이 발생!\r앞으로%{times}회 유효!!"
fortuneEffectPop.friendshipComment,おみくじのご利益により、プロデュース開始時に\rサポートアイドルの「絆アップ」が発生！\rあと%{times}回有効！！,"운세쪽지의 공덕에 의해, 프로듀스 개시시에\r서포트 아이돌의 「인연업」이 발생!\r앞으로%{times}회 유효!!"
fortuneEffectPop.businessMotivationComment,おみくじのご利益により、営業で\r「モチベーションボーナスアップ」が発生！\rあと%{times}回有効！！,"운세쪽지의 공덕에 의해, 영업에서\r「모티베이션 보너스업」이 발생!\r앞으로%{times}회 유효!!"
fortuneEffectPop.trainingSuccessComment,おみくじのご利益により、トレーニングすると\r一定確率で「大成功」が発生！\rあと%{times}回有効！！,"운세쪽지의 공덕에 의해, 트레이닝하면\r일정 확률로 「대성공」이 발생!\r앞으로%{times}회 유효!!"
fortuneEffectPop.specialComment,「モチベーションボーナスアップ」「絆アップ」\r「獲得マニーアップ」「トレーニング大成功」が発生！\rそれぞれ%{times}回有効！,「모티베이션 보너스 업」 「인연 업」\r「획득 머니업」「트레이닝 대성공」이 발생!\r각각 %{times}회 유효!
gameEvent.presentEventSchedule.label.open,開催期間,개최 기간
gameEvent.presentEventSchedule.label.receive,受取期間,수취 기간
gameEvent.presentEventSchedule.schedule,%{closeAt}まで,%{closeAt}까지
gameEvent.presentEvent.givePresentDialog.text,自然回復の上限を超えて回復します,자연 회복의 상한을 넘어 회복합니다
gameEvent.presentEvent.releaseRewardCommuDialog.title,スペシャルコミュ解放,스페셜 커뮤 해방
gameEvent.presentEvent.releaseRewardCommuDialog.text,【%{firstName}】からプレゼントがもらえる\nスペシャルコミュが解放されました,【%{firstName}】로부터 선물을 받을 수 있는\n스페셜 커뮤가 해방되었습니다
gameEvent.presentEvent.spCommuPlayConfirmPop.title,スペシャルコミュ再生確認,스페셜 커뮤 재생 확인
gameEvent.presentEvent.spCommuPlayConfirmPop.rewardCommuTitle,【%{firstName}】からのプレゼントコミュ,【%{firstName}】로부터의 선물 커뮤
header.presentEvent,2019クリスマス特設ページ,2019 크리스마스 특설 페이지
option.homeContent.title.touch,コミュニケーションタッチ判定,커뮤니케이션 터치 판정
option.homeContent.title.idolPrank,アイドルからのイタズラ,아이돌로부터의 장난
option.homeContent.prank.unreleased,未解放,미해방
option.homeContent.prank.sealed,設定可能なアイドルがいません\n「2019ハロウィンのおかし」を使用すると\nイタズラ機能が解放されます,설정 가능한 아이돌이 없습니다\n「2019 할로윈 과자」를 사용하면\n장난 기능이 해방됩니다
option.pushNotificationContentTitle.businessFinish,営業完了通知,영업 완료 통지
option.pushNotificationContentTitle.recoveredFesTicket,フェス参加権回復通知,페스 참가권 회복 통지
option.pushNotificationContentTitle.recoveredStamina,スタミナ回復通知,스태미너 회복 통지
option.pushNotificationDescription,プラットフォームでの通知設定がブロックされている場合、オプション内での\nプッシュ通知がONであっても通知は送られません\nSafariおよびiOSブラウザではプッシュ通知は送られません,플랫폼에서 알림 설정이 차단되어 있는 경우 옵션에서\n푸시 알림이 ON이라도 알림은 발송되지 않습니다\nSafari 및 iOS 브라우저에서는 푸시 알림은 발송되지 않습니다.
item.itemResult.effect,%{itemName}を\r使用して%{valueName}を%{gainValue}回復しました,%{itemName}를\r사용하여 %{valueName}를 %{gainValue} 회복했습니다
announce.package,パッケージ,패키지
announce.noticeLabel.topics,開催中のトピックス,개최중인 토픽
announce.noticeLabel.update,すべてのお知らせ,모든 소식
announce.noticeLabel.problem,メンテナンス・不具合情報,메인터넌스·불량 정보
announce.noticeLabel.contents,コンテンツ情報,컨텐츠 정보
commonMenu.produceRetire.comment1.produce,プロデュース中のデータは失われます\n消費したスタミナと\nプロデュースアイテムは返却されません,프로듀스중인 데이터는 없어집니다\n소비한 스태미너와\n프로듀스 아이템은 반환되지 않습니다
commonMenu.produceRetire.comment1.trueEndTeaching,プロデュース中のデータは失われます,프로듀스중인 데이터는 없어집니다
commonMenu.produceRetire.comment2,進行中のプロデュースを終了して\n新たなアイドルをプロデュースします,진행중인 프로듀스를 종료하고\n새로운 아이돌을 프로듀스합니다
commonMenu.produceResume.produceTitle,プロデュース再開,프로듀스 재개
commonMenu.produceResume.trueEndTeachingTitle,True End研修再開,True End 연수 재개
selectLoginBonus.comment,好きな場所を選択してください,좋아하는 장소를 선택해 주세요
selectLoginBonus.rewardPop.title,アイテム獲得,아이템 획득
selectLoginBonus.rewardPop.text,以下のアイテムがプレゼントBOXに送られました,이하의 아이템이 선물 BOX에 보내졌습니다
ending.popReceiveProduceIdol.title,報酬受け取り,보상 수령
ending.popReceiveProduceIdol.comment,以下の報酬を受け取りました,이하의 보상을 받았습니다
trueEndTeachingEnding.receivePop.popTitle,True End研修達成,True End 연수 달성
trueEndTeachingEnding.receivePop.missionTitle,True End研修でTrue Endを達成しよう,True End 연수로 True End를 달성하자
trueEndTeachingEnding.receivePop.adviceText,研修お疲れさまでした〜\nこれからもプロデュース、がんばっていきましょう\nね〜,"연수 수고 하셨습니다~\n앞으로도 프로듀스, 노력해 가\n요~"
trueEndTeachingEnding.receivePop.rewardDetailText,True End研修達成報酬SSRプロデュースアイドルです,True End 연수 달성 보상 SSR 프로듀스 아이돌입니다
errorDialog.trueEndTeachingDuplicate,進行中のTrue End研修があるので\n開始できませんでした。\n一度True End研修を終了してから始めてください。,진행중인 True End 연수가 있기 때문에\n시작하지 못했습니다.\n한 번 True End 연수를 종료하고 나서 시작하세요.
gasha.skinRateDescription,衣装,의상
gasha.skinFixSubtitle,通常ガシャ提供割合,통상 가챠 제공 비율
gasha.skinFixSubtitleIdol,衣装確定の衣装一覧,의상 확정 의상 목록
gasha.normalWithSkinSubtitleIdol,通常ガシャの提供アイドル、衣装一覧,"통상 가챠 제공 아이돌, 의상 목록"
gasha.gashaHistory.skinGashaName,「%{name}」で獲得した衣装です。,「%{name}」로 획득한 의상입니다.
gasha.gashaHistory.replacedWithTicket,すでに所持していたため「%{name}」と交換しました。,이미 소지하고 있기 때문에 「%{name}」(와)과 교환했습니다.
gasha.skinReplacement.title,確認,확인
gasha.skinReplacement.message,すでに取得済の衣装は\n「%{name}」に変換されました,이미 취득한 의상은\n「%{name}」(으)로 변환되었습니다
gasha.skinReplacement.possessionLabel,所持数,소지수
gasha.result.evolutionLabel,%{evolutionStage}回特訓済,%{evolutionStage}회 특훈끝
header.trueEndTeachingProduceIdolSelect,プロデュースアイドル選択,프로듀스 아이돌 선택
header.trueEndReport,研修レポート,연수 리포트
loginBonus.christmasClerkComment.greeting,プロデューサーさん、メリークリスマス！\rこちらは今日のログインボーナスですよ,"프로듀서님, 메리 크리스마스!\r이쪽은 오늘의 로그인 보너스예요"
loginBonus.christmasClerkComment.nextBonus,明日はこちらがもらえますから、頑張っていきましょ〜,"내일은 이쪽을 받을 수 있기 때문에, 노력해 주세요~"
loginBonus.christmasClerkComment.totalBonus,今日はプロデューサー就任%{totalLoginDays}日記念ですね！\rこれはみんなからのお祝いです！受け取ってください！,오늘은 프로듀서 취임%{totalLoginDays}일 기념이군요!\r이것은 모두로부터의 축하입니다! 받아 주세요!
produceMain.supportSkillsDialog.title,発動中スキル,발동중인 스킬
produceMain.supportSkillsDialog.noSkill,発動中のサポートスキルはありません,발동중인 서포트 스킬은 없습니다
produceMain.supportSkillsDialog.helper,お手伝い中のアイドルです,도움중인 아이돌입니다
produceMain.supportSkillsDialog.placeTitle.vocalLesson,ボーカルレッスン,보컬 레슨
produceMain.supportSkillsDialog.placeTitle.danceLesson,ダンスレッスン,댄스 레슨
produceMain.supportSkillsDialog.placeTitle.visualLesson,ビジュアルレッスン,비주얼 레슨
produceMain.supportSkillsDialog.placeTitle.radioWork,ラジオの収録,라디오 수록
produceMain.supportSkillsDialog.placeTitle.talkWork,トークイベントに出演,토크 이벤트에 출연
produceMain.supportSkillsDialog.placeTitle.photoWork,雑誌の撮影,잡지의 촬영
produceMain.supportSkillsDialog.placeTitle.audition,オーディション,오디션
produceMain.supportSkillsDialog.placeTitle.none,その他,그 외
trueEndTeaching.objectivePopupTitle.season,シーズン%{seasonNum}目標,시즌%{seasonNum} 목표
trueEndTeaching.objectivePopupHadukiHint.season2,目標をすべて達成したら、次のシーズンを見据えて\nレッスンやお仕事を行いましょう♪,"목표를 모두 달성하면, 다음 시즌을 내다보고\n레슨이나 일을 시행합시다♪"
trueEndTeaching.objectivePopupHadukiHint.season3,目標をすべて達成したら、W.I.N.G.へ向けて\nレッスンやお仕事を行いましょう♪,"목표를 모두 달성하면, W.I.N.G. 을 향하여\n레슨이나 일을 시행합시다♪"
trueEndTeaching.skillGetRecommendTipsTitle,振り返りでスキルを習得しましたか？,복습하기로 스킬을 습득했습니까?
trueEndTeaching.allObjectiveClearedText,目標全てクリア,목표 모두 클리어
trueEndTeaching.auditionTipsTitle,おすすめオーディション,추천 오디션
trueEndTeaching.auditionTipsHadukiHintText,流行にも注目です〜♪　今週がチャンスですよ〜,유행에도 주목하세요~♪ 이번 주가 찬스예요~
trueEndTeaching.openDialogTitle,初心者ミッションクリア,초심자 미션 클리어
trueEndTeaching.openDialogDescription,True End研修はホーム画面からスタートすることができます,True End 연수는 홈 화면에서 스타트 할 수 있습니다
trueEndTeaching.tipsText,おめでとうございます♪　すべての初心者ミッションをクリア\nしましたよ～　次はアイドルのTrue Endミッション達成を\n目標にしてみましょう,축하합니다♪ 모든 초심자 미션을 클리어\n했어요~ 다음은 아이돌의 True End 미션 달성을\n목표로 해 봅시다
trueEndTeachingTipsText.areaSelect.clearedTrueEnd,プロデューサーさん、お疲れ様です♪\n初心にかえって研修を受けてみませんか？,"프로듀서님, 수고하셨습니다♪\n초심으로 돌아가서 연수를 받아보실래요?"
trueEndTeachingTipsText.areaSelect.notClearedTrueEnd,プロデューサーさん、お疲れ様です♪\nお仕事には慣れてきましたか？\n難関ミッションの達成にはコツが必要なんですよ～,"프로듀서님, 수고하셨습니다♪\n일은 익숙해 지셨나요?\n난관 미션의 달성에는 요령이 필요하거든요~"
trueEndTeachingTipsText.produceIdolSelect.text1,まずはプロデュースするアイドルを選択してください♪,우선은 프로듀스할 아이돌을 선택해 주세요♪
trueEndTeachingTipsText.produceIdolSelect.text2,プロデュースしたアイドルがTrue Endの条件を\n達成すると、ミッションクリアになります♪,"프로듀스한 아이돌이 True End의 조건을\n달성하면, 미션클리어가 됩니다♪"
trueEndTeachingTipsText.deckEdit.text1,特別に%{name}さんのサポートに適したアイドルのみなさんに\nお手伝いしてもらいますね～,특별히 %{name}씨의 서포트에 적절한 아이돌 여러분이\n도움을 주시는군요～
trueEndTeachingTipsText.deckEdit.text2,便利なアイテムを持ち込んで\nプロデュースに役立ててくださいね～\n今回は特別に2つのアイテムをプレゼントします♪,편리한 아이템을 가져와\n프로듀스에 유용하게 써 주세요~\n이번에는 특별히 2개의 아이템을 선물합니다♪
trueEndTeachingTipsText.trend,流行1位と得意ジャンルが一致していないようですね～\nそんな時は『流行雑誌』を使ってみましょう,유행 1위와 특기 장르가 일치하지 않는 거 같네요~\n그럴 때는 『유행 잡지』를 사용해 봅시다
trueEndTeachingTipsText.skillBoard,おすすめのスキルをご紹介しますね～\n強力なスキルを優先して習得することが\nTrue Endへの近道ですよ♪,추천하는 스킬을 소개할게요~\n강력한 스킬을 우선으로 습득하는 것이\nTrue End로 가는 지름길이에요♪
twitter.postDialog.staticComment.gashaResultSkin,限定衣装%{idolName}を獲得したよ！とっても素敵な衣装！,한정 의상 %{idolName}(을)를 획득했어! 매우 멋진 의상!
mypageCommunication.producerComment,さて、仕事も一段落したし、\n少し休憩しようかな──……,"그런데, 일도 일단락됐고,\n조금 쉴까나─……"
mypageCommunication.idolComment,だ〜れだ？,누~구게?
gasha.popTicketDesc.ticketName,%{ticketName}を,%{ticketName}을
gasha.popTicketDesc.quantity,消費してガシャを%{quantity}回引きます。\rよろしいですか？,소비해 가챠를 %{quantity}회 합니다. \r괜찮습니까?
extraCampaign.result.idConfirmationDialog.notices.1,このコードは当選者を識別するためのコードなので\r第三者に知られないようにしてください,이 코드는 당선자를 식별하기 위한 코드인 것로\r제삼자에게 알려지지 않도록 해 주세요
extraCampaign.result.idConfirmationDialog.notices.2,以下のフォームで住所情報入力まで完了してください\r入力されない場合、参加権が無効となりますのでご注意ください,"이하의 폼으로 주소 정보 입력까지 완료해 주세요\r입력되지 않는 경우, 참가권이 무효가 되기 때문에 주의해 주세요"
extraCampaign.result.rewardState.expired.a,入力期間は\r終了しました,입력 기간은\r종료됐습니다
extraCampaign.result.rewardState.expired.b,受け取り期間は\r終了しました,수취 기간은\r종료됐습니다
extraCampaign.result.announcementDialog.title,特別応募キャンペーン当選結果,특별 응모 캠페인 당선 결과
extraCampaign.result.announcementDialog.description,当選発表のお知らせ\r\r%{campaignName}\rの結果が確認できます,당선 발표의 소식\r\r%{campaignName}\r의 결과를 확인할 수 있습니다
extraCampaign.result.announcementDialog.notice,特設ページには\rホーム左下ミニバナーからも遷移できます,특설 페이지는\r홈 왼쪽밑 미니배너에서 이동할 수 있습니다
errorDialog.checkin.requireJoin,チェックイン機能を使用するには\nenzaにログインする必要があります,체크인 기능을 사용하려면\nenza에 로그인할 필요가 있습니다
errorDialog.checkin.geolocationDenied,ブラウザによって位置情報の取得が\nブロックされています,브라우저에 의해 위치 정보 취득이\n차단되고 있습니다
errorDialog.checkin.geolocationUnAvailable,位置情報が取得できません\nデバイスの位置情報サービスをONにするか\n電波状況をご確認ください,위치 정보를 취득할 수 없습니다\n디바이스의 위치 정보 서비스가 ON인지\n전파 상황을 확인해 주세요
errorDialog.checkin.title,チェックイン失敗,체크인 실패
errorDialog.checkin.outOfRange,%{placeName}\nから離れすぎています\nチェックイン範囲に近づくか\n電波状況をご確認ください,%{placeName}\n에서 멀리 떨어져있습니다\n체크인 범위에 가까운지\n전파 상황을 확인하세요
errorDialog.checkin.alreadyCheckIn,このチェックインスポットには\nすでにチェックイン済みです,이 체크인 스팟에는\n벌써 체크인이 끝난 상태입니다
errorDialog.checkin.notice,以下のFAQをご確認のうえ\n再度チェックインをお試しください,이하의 FAQ를 확인 후\n재차 체크인을 시험해 주세요
errorDialog.checkin.invalid,有効期限外です,유효기간 밖입니다
errorDialog.invalidProduct,該当の商品が存在しないため、\n購入することができません。,"해당 상품이 존재하지 않기 때문에,\n구입할 수가 없습니다."
selectablePresentRewardPop.title,アイテム獲得,아이템 획득
selectablePresentRewardPop.text,以下のアイテムがプレゼントBOXに送られました,이하의 아이템이 선물BOX에 보내졌습니다
checkin.successDialog.title,チェックイン成功,체크인 성공
checkin.successDialog.message,チェックインに成功しました\n\n報酬アイテムはプレゼントBOXに\n送られました,체크인에 성공했습니다\n\n보상 아이템은 선물 BOX에\n보내졌습니다
