ja,zh
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をDanceに変更\nトークイベントのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n중간 라이브의 유행 1위를 Dance로 변경\n토크 이벤트의 레벨을 1 상승"
絆UP/中間流行Vi/ラジオUP,"인연 UP/중간 유행 Vi/라디오 UP"
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\nラジオの収録のレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n중간 라이브의 유행 1위를 Visual로 변경\n라디오 수록의 레벨을 1 상승"
絆UP/中間流行Da/トークUP,"인연 UP/중간 유행 Da/토크 UP"
アイドルのテンションが小UP\nアイドルの体力が小回復,"아이돌의 텐션이 소UP\n아이돌의 체력이 소회복"
アイドルのテンションが小UP\nアイドルの親愛度を小UP,"아이돌의 텐션이 소UP\n아이돌의 친애도를 소UP"
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nダンスレッスンのレベルを2上昇,"아이돌의 친애도가 대UP\n아이돌의 체력이 중회복\n서포트 스킬의 발동율이 중UP\n댄스 레슨의 레벨을 2 상승"
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nダンスレッスンのレベルを2上昇\n+5,"아이돌의 친애도가 대UP\n아이돌의 체력이 중회복\n서포트 스킬의 발동율이 중UP\n댄스 레슨의 레벨을 2 상승\n+5"
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nトークイベントのレベルを2上昇,"아이돌의 친애도가 대UP\n아이돌의 체력이 중회복\n서포트 스킬의 발동율이 중UP\n토크 이벤트의 레벨을 2 상승"
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nビジュアルレッスンのレベルを2上昇,"아이돌의 친애도가 대UP\n아이돌의 체력이 중회복\n서포트 스킬의 발동율이 중UP\n비주얼 레슨의 레벨을 2 상승"
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nボーカルレッスンのレベルを2上昇,"아이돌의 친애도가 대UP\n아이돌의 체력이 중회복\n서포트 스킬의 발동율이 중UP\n보컬 레슨의 레벨을 2 상승"
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\nラジオの収録のレベルを2上昇,"아이돌의 친애도가 대UP\n아이돌의 체력이 중회복\n서포트 스킬의 발동율이 중UP\n라디오 수록의 레벨을 2 상승"
アイドルの親愛度が大UP\nアイドルの体力が中回復\nサポートスキルの発動率が中UP\n雑誌の撮影のレベルを2上昇,"아이돌의 친애도가 대UP\n아이돌의 체력이 중회복\n서포트 스킬의 발동율이 중UP\n잡지의 촬영의 레벨을 2 상승"
アイドルの親愛度が大UP\nアイドルの体力が大回復\nサポートスキルの発動率が中UP\n限定スキル[Dance上限＋100]を解放,"아이돌의 친애도가 대UP\n아이돌의 체력이 대회복\n서포트 스킬의 발동율이 중UP\n한정 스킬[Dance 상한＋100]을 해방"
アイドルの親愛度が大UP\nアイドルの体力が大回復\nサポートスキルの発動率が中UP\n限定スキル[Visual上限＋100]を解放,"아이돌의 친애도가 대UP\n아이돌의 체력이 대회복\n서포트 스킬의 발동율이 중UP\n한정 스킬[Visual 상한＋100]을 해방"
テンションUP/体力回復,"텐션 UP/체력 회복"
テンションUP/体力回復\n消費体力-5\nアイドルのテンションが小UP\nアイドルの体力が小回復,"텐션 UP/체력 회복\n소비 체력-5\n아이돌의 텐션이 소UP\n아이돌의 체력이 소회복"
テンションUP/親愛度UP,"텐션 UP/친애도 UP"
トラブル率+10%,"트러블율+10%"
パーフェクト発生率増加(小),"퍼펙트 발생율 증가(소)"
メンタル+10,"멘탈+10"
メンタル+5,"멘탈+5"
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nダンスレッスンのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n아이돌의 체력이 중회복\n댄스 레슨의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nトークイベントのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n아이돌의 체력이 중회복\n토크 이벤트의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nボーカルレッスンのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n아이돌의 체력이 중회복\n보컬 레슨의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\nラジオの収録のレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n아이돌의 체력이 중회복\n라디오 수록의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\n限定スキルを解放,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n아이돌의 체력이 중회복\n한정 스킬을 해방"
全アイドルと七草はづきの絆を中UP\nアイドルの体力が中回復\n雑誌の撮影のレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n아이돌의 체력이 중회복\n잡지의 촬영의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\nアイドルの親愛度を小UP\nビジュアルレッスンのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n아이돌의 친애도를 소UP\n비주얼 레슨의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\nアイドルの親愛度を小UP\nボーカルレッスンのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n아이돌의 친애도를 소UP\n보컬 레슨의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をDanceに変更\n雑誌の撮影のレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n중간 라이브의 유행 1위를 Dance로 변경\n잡지의 촬영의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\nトークイベントのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n중간 라이브의 유행 1위를 Visual로 변경\n토크 이벤트의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\nビジュアルレッスンのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n중간 라이브의 유행 1위를 Visual로 변경\n비주얼 레슨의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVisualに変更\n雑誌の撮影のレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n중간 라이브의 유행 1위를 Visual로 변경\n잡지의 촬영의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n中間ライブの流行1位をVocalに変更\nダンスレッスンのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n중간 라이브의 유행 1위를 Vocal로 변경\n댄스 레슨의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をDanceに変更\n雑誌の撮影のレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n최종 라이브의 유행 1위를 Dance로 변경\n잡지의 촬영의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVisualに変更\n雑誌の撮影のレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n최종 라이브의 유행 1위를 Visual로 변경\n잡지의 촬영의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVocalに変更\nダンスレッスンのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n최종 라이브의 유행 1위를 Vocal로 변경\n댄스 레슨의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVocalに変更\nボーカルレッスンのレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n최종 라이브의 유행 1위를 Vocal로 변경\n보컬 레슨의 레벨을 1 상승"
全アイドルと七草はづきの絆を中UP\n最終ライブの流行1位をVocalに変更\nラジオの収録のレベルを1上昇,"전아이돌과 나나쿠사 하즈키의 인연을 중UP\n최종 라이브의 유행 1위를 Vocal로 변경\n라디오 수록의 레벨을 1 상승"
消費体力+10,"소비 체력+10"
消費体力+15,"소비 체력+15"
消費体力+20,"소비 체력+20"
消費体力-5,"소비 체력-5"
絆UP/中間流行Da/雑誌UP,"인연 UP/중간 유행 Da/잡지 UP"
絆UP/中間流行Vi/トークUP,"인연 UP/중간 유행 Vi/토크 UP"
絆UP/中間流行Vi/雑誌UP,"인연 UP/중간 유행 Vi/잡지 UP"
絆UP/中間流行Vi/ViレッスンUP,"인연 UP/중간 유행 Vi/Vi레슨 UP"
絆UP/中間流行Vo/DaレッスンUP,"인연 UP/중간 유행 Vo/Da레슨 UP"
絆UP/体力回復/トークUP,"인연 UP/체력 회복/토크 UP"
絆UP/体力回復/ラジオUP,"인연 UP/체력 회복/라디오 UP"
絆UP/体力回復/限定スキル解放,"인연 UP/체력 회복/한정 스킬 해방"
絆UP/体力回復/雑誌UP,"인연 UP/체력 회복/잡지 UP"
絆UP/体力回復/DaレッスンUP,"인연 UP/체력 회복/Da레슨 UP"
絆UP/体力回復/VoレッスンUP,"인연 UP/체력 회복/Vo레슨 UP"
絆UP/最終流行Da/雑誌UP,"인연 UP/최종 유행 Da/잡지 UP"
絆UP/最終流行Vi/雑誌UP,"인연 UP/최종 유행 Vi/잡지 UP"
絆UP/最終流行Vo/ラジオUP,"인연 UP/최종 유행 Vo/라디오 UP"
絆UP/最終流行Vo/DaレッスンUP,"인연 UP/최종 유행 Vo/Da레슨 UP"
絆UP/最終流行Vo/VoレッスンUP,"인연 UP/최종 유행 Vo/Vo레슨 UP"
絆UP/親愛度UP/ViレッスンUP,"인연 UP/친애도 UP/Vi레슨 UP"
絆UP/親愛度UP/VoレッスンUP,"인연 UP/친애도 UP/Vo레슨 UP"
