ja,zh
"いろんな人に、おかしをたっく\nさんもらいました！　プロデュ\nーサーさんにおすそわけです！","여러사람에게, 과자를 듬뿍 받았어요! 프로듀서님에게 나누어줄께요!"
"お菓子いっぱい作ったけん\nあのセリフ、\n何回言ってもよかよ～！","과자 잔뜩 만들었응께\n그 대사,\n몇번 말해도 괜찮구마~!"
"仮装用のアイテム色々買ってきたわ！　プロデューサーも一緒にやろ！","변장용 아이템 여러가지 사왔어! 프로듀서도 같이 하자!"
"言われる側も楽しそうだね\nアナタがどんな悪戯をするのか\n……フフ、興味があるよ","듣는 쪽도 즐거울 것 같네\n당신이 어떤 장난을 칠지\n……후후, 흥미로워"
さあ！\nとびっきりのパフォーマンスを\n浴びせてあげるわ！,"자!\n뛰어난 퍼포먼스를を\n퍼부어줄께!"
"お菓子を……出せ……\nいたずらするぞ……\n──ほんとでございます……","﻿과자를……내놔라……\n장난칠거야……\n─정말입니다……"
"お菓子補充しとかなくて大丈\n夫？　あちこちから狙われる\nんだから、気を付けなよ～","과자보충같은거 안해도 괜찮아? 여기저기서 노린다\n그러니까 조심해~"
"ねえ、お菓子ある？\n……あ、持ってんの？\nじゃあ後でにするわ","저기, 과자 있어?\n……아, 가지고 있는 거야?\n그럼 나중에 할게"
"みんなで仮装ができたらって思って、ゾンビさんのメイクをお勉強していますっ","다같이 변장을 했으면 하는 생각에, 좀비씨의 메이크업을 공부하고 있어요"
"イタズラはしないので\nお菓子割増しでどうでしょう\nプロデューサーさん！","장난은 치지 않을거니까\n과자 증가하면 어떨까요\n프로듀서님!"
"イタズラはダメですが、代わり\nにお菓子を作りました\n──おひとつどうですか？","장난은 안되지만,대신에\n과자를 만들었어요\n─한개 어때요?"
"チョコと果穂に、お菓子用意\nしとけって言われてさ……\nん、アンタにも……やるよ","쵸코랑 카호가, 과자 준비\n해놓으라고 그래서……\n응, 너한테도……줄게"
"ハロウィンって、普段できない格好できるから楽しいよねっ☆　どんなのにしよっかな〜","할로윈은, 평상시 할 수 없는 모습을 할 수 있어서 즐겁지☆어떤 것으로 할까나~"
"あの時よりずっと……\nアイドルになりたい……です","﻿그 때부터 쭉……\n아이돌이 되고 싶었……습니다"
"ここからは……\nわたしの力で、進まなきゃ……","여기서부터는……\n내 힘으로, 나아가지 않으면……"
"ねえ見てプロデューサー！\n仮装したカトレアの写真よ！\nどう？　可愛いでしょう？","저기 봐 프로듀서!\n변장한 카틀레야의 사진이야!\n어때? 귀엽지?"
"プロデューサー、トリックオア\nトリート！　お菓子をくれなき\nゃイタズラしちゃうよー？","프로듀서, 트릭 오어\n트릿! 과자를 주지 않으면\n장난쳐 버릴거야?"
"プロデューサーさんのおかげで\nわたしになれたって思います","프로듀서님 덕분에\n제가 될 수 있었던 것 같습니다"
"い、いたずらしちゃうぞ～！\n……え？　えと……いたずらって……何するんだろ……？","﻿자, 장난치겠어~! \n…… 에? 엣또……장난은……뭐 해야되지……?"
"えへへ、美味しそうだね☆\n早く事務所に戻って\n一緒に食べたいなっ！","에헤헤, 맛있겠다☆\n빨리 사무소로 돌아가서\n같이 먹고싶다!"
"さーて、準備ばっちり！　いつでも来いって感じね！","자~, 준비 확실히! 언제든 오라는 느낌이야!"
"わんわんっ！　……ええと、\nハロウィンなので、いたずら\nのつもりでした……！","멍멍! …… 에엣또,\n할로윈이라 장난\n치려고 했죠……!"
"シェアするなら\n『あ～ん』とか\nしてみちゃう～？","쉐어한다면\n『앙』이라든지\n해버려~?"
"ヒーローは、もっとずっと、\n強くてカッコいいんですっ！","히어로는, 좀 더 쭉,\n강하고 멋집니닷!"
"ヒーローみたいに、もっとスゴいアイドルになります！","히어로처럼 더 대단한 아이돌이 되겠습니다!"
"プロデューサー。ふゆの雄姿、ちゃんと見てなさいよ！","프로듀서. 후유의 웅장한 모습, 제대로 봐 주세요!"
"プロデューサーさんにも\nやっと食べてもらえて\nめっちゃうれしー☆","프로듀서님에게도\n겨우 먹게 할 수 있어서\n굉장히 기뻐─☆"
"プロデューサーさんは、\nあたしのヒーローなんです！","프로듀서님은,\n저의 히어로입니다!"
"ミイラ男さんと吸血鬼さんど\nっちが強いって聞かれて……\nふふ……喧嘩はダメです……","미이라남자씨와 흡혈귀씨\n어느쪽이 강하다고 들어서……\n후후…… 싸움은 안돼요……"
"今すぐストロベリーサンデーが食べたいですー。用意できないならイタズラしまぁす","지금 당장 딸기 선데이가 먹고 싶어요―. 준비 못한다면 장난칠거예요"
"夏といえば……そう！\n私、有栖川夏葉の季節よ！","여름이라고 하면……그래!\n 나, 아리스가와 나츠하의 계절이야!"
"幸せの花びら\nみーんなに受け取って\nもらいたいなっ☆","행복의 꽃잎\n모두에게 받아서\n얻고 싶어☆"
"放課後には、楽しいがいっぱいいっぱい、いーっぱいあります！","방과후에는, 즐거움이 많이, 많이 있습니다!"
"昨日のふゆよりいいふゆを。明日はもっと良くなるから！","어제의 후유보다 좋아진 후유를. 내일은 더 좋아질 테니까!"
"最高の記事を書いてもらえそうだ！\nこれでお願いしようかな？","최고의 기사를 써줄 수 있을 것 같다!\n이걸로 부탁할까?"
"毎日ハロウィンだといいっすね！　面白い格好の人、街でたくさん見れるっすから！","매일 할로윈이면 좋겠슴다! 재밌게 생긴 사람, 거리에서 많이 볼 수 있을거 같슴다!"
"甘奈と一緒に空中散歩！\n背中を押してくれたら\nもーっと高く飛べちゃう☆","아마나와 함께 공중 산책!\n등을 밀어 주면\n좀─더 높이 날 수 있어☆"
"風邪、引かないように……\n濡れたとこ、\nちゃんと乾かしとけよ！","감기, 안걸리게……\n젖은곳, \n제대로 말려 줘!"
"ファンのみなさん\n盛り上がってくれましたね\n次は、もっと上を目指します","﻿팬 여러분\n 분위기 달아오르셨네요\n다음은, 더 위를 목표로 하겠습니다"
"三峰にとっては空も通り道ってね！\nさて、派手に始めましょうか！","미츠미네에게는 하늘도 지나는 길이란 말이죠!\n자, 화려하게 시작할까요!"
"歯車は噛み合い、絡み合い、\n──そうして『永遠』になるんだよ","톱니바퀴는 서로 맞물려, 얽혀,\n─그렇게 해서 『영원』이 되는거야"
"焔は燃える……──\n闇ば消すために","불꽃은 타오른다……─\n어둠을 지우기 위해서"
"私は、誰にも捕まらない\n複雑なパープル──","나는, 누구에게도 잡히지 않는\n복잡한 퍼플─"
"飛べない、なんて言わせないよ\n三峰のためなら、不可能ぐらい\n可能にしてくれなくちゃ！","날 수 없다, 라고 말하지 말아요\n미츠미네를 위해서라면, 불가능도\n가능하게 해줘야지!"
