text,trans,type
プロデュース開始時にイルミネーションスターズに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
プロデュース開始時にアンティーカに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 안티카에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
プロデュース開始時に放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
プロデュース開始時にアルストロメリアに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
プロデュース開始時にストレイライトに所属しているサポートアイドルの絆が中アップします,프로듀스 시작시에 스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
アルストロメリアのタオル,알스트로메리아의 타올,
アルストロメリアに所属しているサポートアイドルの絆が中アップします,알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
イルミネーションスターズのタオル,일루미네이션 스타즈의 타올,
イルミネーションスターズ\nのタオル,일루미네이션 스타즈\n의 타올,
イルミネーションスターズに所属しているサポートアイドルの絆が中アップします,일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
アンティーカのタオル,안티카의 타올,
アンティーカに所属しているサポートアイドルの絆が中アップします,안티카에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
放課後クライマックスガールズのタオル,방과후 클라이맥스걸즈의 타올,
放課後クライマックス\nガールズのタオル,방과후 클라이맥스\n걸즈의 타올,
放課後クライマックスガールズに所属しているサポートアイドルの絆が中アップします,방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
ストレイライトのタオル,스트레이라이트의 타올,
ストレイライトに所属しているサポートアイドルの絆が中アップします,스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 中 올라갑니다,
ヒーリングフルーツタルト(2個入り),힐링 과일 타르트（2개들음）,
ヒーリングフルーツタルト\n(2個入り),힐링 과일 타르트\n（2개들음）,
ヒーリングフルーツタルト(3個入り),힐링 과일 타르트（3개들음）,
ヒーリングフルーツタルト（2個入り）,힐링 과일 타르트（2개들음）,
使用時プロデュースアイドルの体力が中回復します(プロデュース中2回まで使用可能),사용시 프로듀스 아이돌의 체력이 中 회복합니다(프로듀스중 2회까지 사용 가능),
流行雑誌,유행 잡지,
流行雑誌(2冊入り),유행 잡지（2권들음）,
使用時流行全てをランダムで変更します,사용시 유행 모두를 랜덤으로 변경합니다,
使用時流行全てをランダムで変更します(プロデュース中2回まで使用可能),사용시 유행 모두를 랜덤으로 변경합니다（프로듀스중 2회까지 사용 가능）,
予定変更付箋,예정 변경 포스트잇,
予定変更付箋(2個入り),예정 변경 포스트잇（2개들음）,
使用時サポートアイドルの配置をランダムで変更します,사용시 서포트 아이돌의 배치를 랜덤으로 변경합니다,
使用時サポートアイドルの配置をランダムで変更します(プロデュース中2回まで使用可能),사용시 서포트 아이돌의 배치를 랜덤으로 변경합니다（프로듀스중 2회까지 사용 가능）,
約束のトワレ,약속의 향수,
プロデュース中の約束発生率を中アップします(効果量は約束発生毎に減少し4回で効果がなくなる),프로듀스중의 약속 발생율이 中 올라갑니다(효과량은 약속 발생마다 감소해 4회에 효과가 없어진다),
SSR確定ガシャチケット,SSR 확정 가챠 티켓,
SSR確定ガシャが引けるチケットです,SSR 확정 가챠를 시행하는 티켓입니다,
リカバリーソーダ1/2,리커버리 소다 1/2,
スタミナが最大量の1/2回復します,스태미너가 최대량의 1/2회복합니다,
リカバリーソーダ1/4,리커버리 소다 1/4,
スタミナが最大量の1/4回復します,스태미너가 최대량의 1/4회복합니다,
フェスエントリーチケット,페스엔트리 티켓,
フェス参加権が回復します,페스 참가권이 회복됩니다,
ゴールドトレーニングチケット,골드 트레이닝 티켓,
プラチナトレーニングチケット,플래티넘 트레이닝 티켓,
サポートアイドルのトレーニングに必要なチケットです,서포트 아이돌의 트레이닝에 필요한 티켓입니다,
シルバートレーニングチケット,실버 트레이닝 티켓,
ブロンズトレーニングチケット,브론즈 트레이닝 티켓,
イルミネーションスターズのキーホルダー,일루미네이션 스타즈의 키홀더,
イルミネーションスターズ\nのキーホルダー,일루미네이션 스타즈\n의 키홀더,
イルミネーションスターズに所属しているサポートアイドルの絆が小アップします,일루미네이션 스타즈에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
アンティーカの\nキーホルダー,안티카의\n 키홀더,
アンティーカのキーホルダー,안티카의 키홀더,
アンティーカに所属しているサポートアイドルの絆が小アップします,안티카에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
放課後クライマックス\nガールズのキーホルダー,방과후 클라이맥스\n걸즈의 키홀더,
放課後クライマックスガールズのキーホルダー,방과후 클라이맥스걸즈의 키홀더,
放課後クライマックスガールズに所属しているサポートアイドルの絆が小アップします,방과후 클라이맥스걸즈에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
アルストロメリアのキーホルダー,알스트로메리아의 키홀더,
アルストロメリアの\nキーホルダー,알스트로메리아의\n키홀더,
アルストロメリアに所属しているサポートアイドルの絆が小アップします,알스트로메리아에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
ストレイライトのキーホルダー,스트레이라이트의 키홀더,
ストレイライトの\nキーホルダー,스트레이라이트의\n키홀더,
ストレイライトに所属しているサポートアイドルの絆が小アップします,스트레이라이트에 소속해 있는 서포트 아이돌의 인연이 小 올라갑니다,
ヒーリングタルト(2個入り),힐링 과일 파이（2개들음）,
ヒーリングタルト\n(2個入り),힐링 과일 파이\n（2개들음）,
使用時プロデュースアイドルの体力が小回復します(プロデュース中2回まで使用可能),사용시 프로듀스 아이돌의 체력이 小 회복합니다（프로듀스중 2회까지 사용 가능）,
プチテンションアロマ(2個入り),푸치 텐션 아로마（2개들음）,
プチテンションアロマ\n(2個入り),푸치 텐션 아로마\n（2개들음）,
