ja,zh
『昨日の敵は今日の友』ってことわざを教わりました！\n敵だった相手と、一緒に戦うことを言うんです！\nスッゴくカッコよくて、スッゴくスッゴくワクワクします！,"『어제의 적은 오늘의 친구』라는 속담을 배웠어요!\n적이었던 상대와 함께 싸우는 것을 말한대요!\n엄청 멋있고, 엄청 엄청 설레요!"
じ～～～……………………\n……！　ふぇ、見てなかよ！？\nうち、プロデューサーのこと見てなか……！,"빤~~~……………………\n……! 후에, 안 봤어야!?\n나 프로듀서 안 봤당게……!"
なんだか、お伝えしたいことがいっぱいあって……！\n言葉が押し合いへしあい、してるんです\n感謝、喜び、希望、それから────,"왠지 모르게 전해드리고 싶은 말이 너무 많아서……!\n말들이 서로 밀치락달치락 하고 있어요\n감사, 기쁨, 희망, 그리고……"
ふふっ\nまだまだ長いよ\n人生,후훗\n아직도 길다구\n인생
みんなのこと大好きだよ！　それは本当！\nでも……でもね？\nやっぱり、大好きじゃ収まらない人たちもいるんだ……！,"다들 너무 좋아! 그건 정말이야!\n그치만…… 그치만 있잖아?\n역시, 너무 좋다는 말로는 부족한 사람들도 있어……!"
フフ……ああ、いや、なんでもないんだ\nこうやって、ただ何気なくアナタを眺めることができる──\nそれはとても、幸せなことだと思ってね,"후후……아, 아니, 아무것도 아니야\n이렇게 그냥 아무렇지도 않게 당신을 바라볼 수 있어\n그건 너무나도 행복한 일이라고 생각해"
プロデューサー、知っているかな？　私は存外ワガママでね\n……フフ、その通り。まだまだ、アナタとともに\n過ごしていたいんだ──……ねぇ、頼めるかい？,"프로듀서, 알고 있으려나? 나는 의외로 자기중심적이라서 말야\n……후후, 말 그대로야. 아직도, 당신과 함께\n지내고 싶어…… 저기, 부탁해도 될까?"
プロデューサーをひと言で表すと……\nあ！　『完璧超人』！\n次に書く字、これにしよーっと！,프로듀서를 한마디로 표현하자면……\n아! 『완벽초인』!\n다음에 쓸 글씨는 이걸로 해야지!
雛菜がアイドルやって～\nプロデューサーも\n毎日楽しくてしあわせ～？,히나나가 아이돌 하고 있어서~\n프로듀서도\n매일 즐겁고 행복해~?
お仕事お疲れ様～！　\nはい！　コーヒーどうぞ～☆\n眠たそうだったから、ちょっと濃いめにしてみたよっ！,일하느라 고생이 많아~!\n자! 여기 커피~☆\n졸려보여서 조금 진하게 만들어봤어!
ここまで来れたことに、感謝です\nこれからもご一緒にって、指切りです,"여기까지 온 것에 대해 감사드려요\n앞으로도 함께 해주겠다는 의미로, 새끼손가락 걸어요"
このあたしも……うちの大事な一部……\nだから……必ず好きになってもらう……\nそれまであきらめないから……絶対……！,이런 내 모습도…… 나의 소중한 일부분……\n그러니까…… 반드시 좋아하게 만들어주겠어……\n그때까지 포기하지 않을 거니까…… 절대로……!
ね、プロデューサー\n雛菜をプロデュースできてしあわせ～？,"있지, 프로듀서\n히나나 프로듀스 할 수 있어서 행복해~?"
ふっふ～ん、ふふ～ん……\n──……ふぇっ、ぷ、プロデューサー！\nんふふ～、聞かれてしまったばい……！,"흐흥~, 흐흥~……\n……후엣, 프, 프로듀서!\n우후후~, 들어부렀당가……!"
わ、わたし……\n頑張れるのが、嬉しいんです\nプロデューサーさんがいるから……！,"저, 저……\n열심히 하는 게 기뻐요\n프로듀서님이 계시니까……!"
アナタの傍は、とても心地がいいんだ\n穏やかで、優しくて、とても暖かい気持ちになれる\nだから……もう少しだけ、肩を借りていてもいいかい？,"당신 곁에 있는 건 무척 느낌이 좋아\n온화하고, 다정하고, 무척 따뜻한 기분이 돼\n그러니까…… 조금만 더, 어깨를 빌려도 될까?"
プロデューサー。コーヒーを淹れましょうか？\n──その、ずいぶん根を詰めているように見えたので……\nリフレッシュすれば、仕事もはかどると思います,"프로듀서. 커피 타 드릴까요?\n그, 꽤 몰두하고 계신 것처럼 보여서……\n리프레시하시면 일도 순조롭게 잘 풀릴 거라고 생각해요"
プロデューサーさーん！　聞いてくださいっ！\n今日学校でスッゴいことがあったんです！\nプロデューサーさんにお話したくて……走ってきました！,프로듀서님! 들어보세요!\n오늘 학교에서 엄청난 일이 있었어요!\n프로듀서님께 얘기해드리고 싶어서…… 달려왔어요!
一歩一歩が、宝物なんです！\nプロデューサーさんと一緒に、放クラのみんなと一緒に\nいつだって楽しく、賑やかに進める一歩が！,"한 걸음 한 걸음이 보물이라구요!\n프로듀서님과 함께, 방클걸 애들과 함께\n언제든 즐겁고 활기차게 나아가는 한 걸음이요!"
今やってみたいこと、書いたっす！\n見といてほしいっす！\nひとりじゃできないことばっかりっすから！,지금 해보고 싶은 것들을 적었슴다!\n봐주셨음 함다!\n혼자서는 할 수 없는 것들뿐이니까요!
参りましょう……\n外へ……花野へ……\n夕月の輝ける方へ……,가시지요……\n밖으로…… 꽃 들녘으로……\n초저녁달이 빛나는 곳으로……
自分を100パーセント信じるのは、どうしても難しいです\nでも、私を応援してくれるファンのみなさんや、\nプロデューサーのことを信じていますし、信じたいんです,"제 자신을 100퍼센트 믿는 것은 아무래도 어려워요\n하지만, 저를 응원해주시는 팬분들과\n프로듀서를 믿고 있고, 믿고 싶어요"
