text,trans,type
思い出アピール未習得,추억 어필 미습득,
思い出アピール未習得の状態です,추억 어필 미습득 상태입니다,
Excellent$num倍アピール,Excellent $1배 어필,
全観客の興味$percentDOWN,전관객의 흥미 $1DOWN,
思い出ゲージ増加量$percentDOWN,추억 게이지 증가량 $1DOWN,
[$num回],[$1회],
メンタルが0になった時$percent回復,멘탈이 0이 되었을 때 $1 회복,
"自身にメランコリー効果$percent付与","자신에게 멜랑꼴리 효과 $1부여"
全ユニットにメランコリー効果$percent付与,전 유닛에 멜랑꼴리 효과 $1부여,
ライバルにメランコリー効果$percent付与,라이벌에게 멜랑꼴리 효과 $1부여,
全ユニットにリラックス効果$percent付与,전 유닛에 릴랙스 효과 $1부여,
一定間隔で$nounに$num倍ダメージ,일정 간격으로 $1에 $2배 데미지
$noun$percentUP,$1 $2UP,
$noun$percent回復,$1 $2 회복,
$noun$num回復,$1 $2 회복,
$nounUP,$1 UP,
$noun$num,$1 $2,
$noun$num～$num倍アピール,$1 $2〜$3배 어필,
$noun$num〜$num倍アピール,$1 $2〜$3배 어필,
全観客に$noun$num～$num倍アピール,전관객에게 $1 $2〜$3배 어필,
全観客に$noun$num〜$num倍アピール,전관객에게 $1 $2〜$3배 어필,
全観客に$noun＆$noun$num倍アピール,전관객에게 $1&$2 $3배 어필,
アピールフェイズ開始時にメンタル$percent回復,어필페이즈 시작시 멘탈 $1 회복,
アピールフェイズ開始時メンタル$percent回復,어필페이즈 시작시 멘탈 $1 회복,
全ユニットの$noun$percentUP,전 유닛의 $1 $2UP,
[PERFECTなら全ユニットの$noun$percentUP],[PERFECT면 전 유닛의 $1 $2UP],
[PERFECTなら$num倍アピール],[PERFECT면 $1배 어필],
全ユニットのメンタル$percent回復,전 유닛의 멘탈 $1 회복,
$noun$num倍アピール,$1 $2배 어필,
全観客に$noun$num倍アピール,전관객에게 $1 $2배 어필,
$noun最大$num倍アピール,$1 최대 $2배 어필,
全観客に$noun最大$num倍アピール,전관객에게 $1 최대 $2배 어필,
$noun＆$noun$num倍アピール,$1＆$2 $3배 어필,
$noun＆$noun$percentUP,$1＆$2 $3UP,
[$numターン],[$1턴],
[条件:$numターン以前],[조건: $1턴 이전],
[条件:$numターン以降],[조건: $1턴 이후],
[条件:$name],[조건: $1],
[条件:$noun],[조건: $1],
[条件:$num位],[조건: $1위],
[条件:$noun担当],[조건: $1담당],
[条件:$noun$num以上],[조건: $1 $2이상],
[条件:$noun$num以下],[조건: $1 $2이하],
[条件:$noun$percent以上],[조건: $1 $2이상],
[条件:$noun$percent以下],[조건: $1 $2이하],
[条件:$nounDOWNが付与されている場合],[조건: $1 DOWN이 부여되고 있는 경우],
[条件:$nounUPが付与されている場合],[조건: $1 UP이 부여되고 있는 경우],
