name,url,version
images/ui/common/parts_buttons.json_image,common.parts_buttons.png,36
images/ui/start_and_common/parts.json_image,start_and_common.parts.png,10
images/ui/my_page/parts.json_image,my_page.parts.png,29
images/ui/present_box/parts.json_image,present_box_parts.png,8
images/ui/mission/parts.json_image,mission_parts.png,15
images/ui/produce_event/parts_promise.json_image,promise_parts.png,7
images/ui/produce_action/gradation/parts.json_image,gradation_parts.png,6
images/content/my_page/banner_border/gasha.png,gasha.png,2
images/content/my_page/banner_border/campaign.png,campaign.png,2
images/content/my_page/banner_border/update.png,update.png,2
images/content/my_page/banner_border/event_end.png,event_end.png,2
images/ui/idol_portal/parts.json_image,idol_portal_parts.png,8
images/ui/produce_commu/parts_commu.json_image,commu_parts.png,7
images/ui/produce_top/parts.json_image,top_parts.png,16
images/ui/start/start_notice.jpg,start_notice.jpg,8
images/ui/idol_list/parts.json_image,idol_list_parts.png,13
images/ui/produce_action/parts.json_image,produce_action.png,15
images/ui/produce_common/parts_pyramid.json_image,parts_pyramid.png,7
images/ui/produce_common/parts_header.json_image,parts_header.png,12
images/ui/produce_event/parts_event.json_image,parts_event.png,14
images/ui/produce_trend/parts.json_image,produce_trend.png,9
images/content/produce_place_categories/level_up_title/00001.png,00001.png,7
images/content/produce_place_categories/level_up_title/00002.png,00002.png,7
images/content/produce_place_categories/level_up_title/00003.png,00003.png,7
images/content/produce_place_categories/level_up_title/00004.png,00004.png,7
images/content/produce_place_categories/level_up_title/00005.png,00005.png,7
images/content/produce_place_categories/level_up_title/00006.png,00006.png,7
images/ui/skill_board/parts.json_image,skill_board.png,12
images/ui/common/parts_skill_list.json_image,parts_skill_list.png,9
images/ui/login_bonus/parts.json_image,login_bonus.png,8
images/ui/produce_common/parts_hint.json_image,parts_hint.png,9
images/ui/produce_common/parts_hint_pop.json_image,parts_hint_pop.png,2
images/ui/common/parts_sort_buttons.json_image,parts_sort_buttons.png,4
images/ui/produce_idol_rank/parts_idol_rank.json_image,parts_idol_rank.png,7
images/ui/evolution/parts.json_image,evolution_parts.png,7
images/ui/produce_deck/parts_deck_edit.json_image,parts_deck_edit.png,11
images/ui/produce_action/parts_wing.json_image,parts_wing.png,2
images/ui/training/parts.json_image,training_parts.png,9
images/ui/idol_list/parts_edit_mode.json_image,idol_list_edit.png,7
images/ui/common/parts_filter.json_image,common_filter.png,3
images/ui/fes/parts.json_image,fes_parts.png,25
images/ui/idol_detail/parts.json_image,idol_detail_parts.png,13
images/ui/start/parts.json_image,start_parts.png,10
images/ui/idol_detail/parts_support.json_image,idol_detail_parts_support.png,7
images/ui/fes/tension_check_title.png,tension_check_title.png,7
images/ui/fes/tension_check_title_mask.png,tension_check_title_mask.png,7
images/ui/produce_ending/parts_ceo_report.json_image,parts_ceo_report.png,7
images/ui/fes_result/parts_new_record.json_image,fes_new_record.png,7
images/ui/produce_ending/parts_fes_idol_birth.json_image,fes_idol_birth.png,7
images/ui/game_event/parts.json_image,game_event.png,14
images/ui/produce_idol_rank/parts_rank_up.json_image,rank_up.png,7
images/content/gasha/bg/ce7fd45320926557c3c5164017348c1e_1001.jpg,1001.jpg,9
images/content/gasha/title/ce7fd45320926557c3c5164017348c1e_1001.png,1001.png,7
images/content/gasha/bg/95c85d7ca80bc5a79d504ff37dccf496_1013.jpg,1013.jpg,7
images/content/gasha/title/95c85d7ca80bc5a79d504ff37dccf496_1013.png,1013.png,7
images/tips/produce/produce/cover.jpg,produce_cover.jpg,7
images/tips/produce/produce/001.jpg,produce_001.jpg,7
images/tips/produce/produce/002.jpg,produce_002.jpg,7
images/tips/produce/produce/003.jpg,produce_003.jpg,7
images/tips/produce/produce/004.jpg,produce_004.jpg,7
images/tips/produce/produce/005.jpg,produce_005.jpg,7
images/tips/produce/produce/006.jpg,produce_006.jpg,7
images/tips/produce/produce/007.jpg,produce_007.jpg,7
images/tips/produce/produce/008.jpg,produce_008.jpg,7
images/tips/produce/produce/009.jpg,produce_009.jpg,7
images/tips/produce/produce/010.jpg,produce_010.jpg,7
images/tips/produce_item/001.jpg,produce_item_001.jpg,8
images/tips/produce_item/002.jpg,produce_item_002.jpg,8
images/tips/produce_item/003.jpg,produce_item_003.jpg,6
images/tips/produce_ready/001.jpg,produce_ready_001.jpg,10
images/tips/produce_ready/002.jpg,produce_ready_002.jpg,11
images/tips/produce_ready/004.jpg,produce_ready_004.jpg,10
images/tips/produce_ready/005.jpg,produce_ready_005.jpg,10
images/tips/produce_ready/006.jpg,produce_ready_006.jpg,8
images/tips/produce_ready/007.jpg,produce_ready_007.jpg,4
images/tips/produce_ready/008.jpg,produce_ready_008.jpg,2
images/tips/evolution/001.jpg,evolution_001.jpg,7
images/tips/evolution/002.jpg,evolution_002.jpg,7
images/tips/training/001.jpg,training_001.jpg,7
images/tips/training/002.jpg,training_002.jpg,7
images/tips/training/003.jpg,training_003.jpg,7
images/tips/training/004.jpg,training_004.jpg,7
images/tips/training/005.jpg,training_005.jpg,7
images/content/gasha/title/c63e2926c30f9492f1823640761ccf87_1882.png,title1882.png,1
images/content/gasha/bg/c63e2926c30f9492f1823640761ccf87_1882.jpg,bg1882.jpg,1
images/ui/gasha/parts_stamp_card.json_image,gasha_parts_stamp_card.png,9
images/tips/concert/001.jpg,concert_001.png,7
images/tips/concert/002.jpg,concert_002.png,7
images/tips/concert/003.jpg,concert_003.png,7
images/tips/concert/004.jpg,concert_004.png,8
images/tips/concert/005.jpg,concert_005.png,7
images/tips/concert/006.jpg,concert_006.png,7
images/tips/concert/007.jpg,concert_007.png,8
images/tips/concert/008.jpg,concert_008.png,7
images/tips/concert/009.jpg,concert_009.png,7
images/ui/fes_result/parts.json_image,fes_result_parts.png,13
images/ui/fes/fes_role_icons.json_image,fes_role_icons.png,8
images/ui/gasha/parts_first_press_discount.json_image,gasha_parts_first_press_discount.png,4
images/ui/gasha_result/parts.json_image,gasha_result.png,8
images/ui/common/parts_shop_merchandise.json_image,parts_shop_merchandise.png,8
images/ui/gasha/parts_first_run_limited.json_image,parts_first_run_limited.png,8
images/content/gasha/bg/fa33fc02dea4d8c612d9ca335b51cddf_5041.jpg,bg_5041.jpg,4
images/content/gasha/title/fa33fc02dea4d8c612d9ca335b51cddf_5041.png,title_5041.png,5
images/content/gasha/stepup_card_base/fa33fc02dea4d8c612d9ca335b51cddf_5041.png,stepup_card_base_5041.png,5
images/ui/idol_detail/parts_fes.json_image,idol_detail_parts_fes.png,9
images/ui/home_deck/parts.json_image,home_deck_parts.png,12
images/ui/item/parts_content.json_image,item_parts_content.png,9
images/content/produce_area/button_m/002.png,button_m_002.png,2
images/content/produce_area/button_l/002.png,button_l_002.png,2
images/ui/shop/parts_currency_status.json_image,parts_currency_status.png,3
images/ui/common/parts_item_content.json_image,item_content.png,2
images/ui/skin_exchange/parts.json_image,skin_exchange.png,10
images/ui/produce_action/parts_fan_meeting.json_image,parts_fan_meeting.png,3
images/content/produce_auditions/banner/004.jpg,produce_auditions_banner_004.jpg,6
images/content/produce_auditions/banner/003.jpg,produce_auditions_banner_003.jpg,6
images/content/produce_auditions/banner/002.jpg,produce_auditions_banner_002.jpg,6
images/content/produce_auditions/banner/001.jpg,produce_auditions_banner_001.jpg,6
images/content/produce_auditions/banner/006.jpg,produce_auditions_banner_006.jpg,6
images/content/produce_auditions/banner/007.jpg,produce_auditions_banner_007.jpg,6
images/ui/produce_item/parts.json_image,produce_item_parts.png,12
images/content/produce_auditions/banner/015.jpg,produce_auditions_banner_015.jpg,6
images/content/produce_auditions/banner/013.jpg,produce_auditions_banner_013.jpg,6
images/content/produce_auditions/banner/017.jpg,produce_auditions_banner_017.jpg,6
images/content/produce_auditions/banner/018.jpg,produce_auditions_banner_018.jpg,6
images/content/produce_auditions/banner/011.jpg,produce_auditions_banner_011.jpg,6
images/content/produce_auditions/banner/009.jpg,produce_auditions_banner_009.jpg,6
images/content/produce_auditions/banner/012.jpg,produce_auditions_banner_012.jpg,6
images/ui/produce_area/parts.json_image,produce_area_parts.png,4
images/content/produces/banners/002.png,produces_banners_002.png,2
images/ui/album/parts.json_image,album_parts.png,15
images/ui/update_information/parts_new_idol.json_image,update_information.png,11
images/content/produce_auditions/banner/101.jpg,produce_auditions_banner_101.jpg,6
images/content/produce_auditions/banner/103.jpg,produce_auditions_banner_103.jpg,6
images/content/produce_auditions/banner/104.jpg,produce_auditions_banner_104.jpg,6
images/content/produce_auditions/banner/102.jpg,produce_auditions_banner_102.jpg,6
images/ui/common/join_recommend_banner.png,join_recommend_banner.png,10
images/ui/produce_helper_support_idol/parts.json_image,produce_helper_support_idol.png,3
images/ui/produce_action/parts_event.json_image,produce_action_parts_event.png,3
images/tips/produce_skill_board/001.jpg,produce_skill_board_001.jpg,8
images/ui/work_activity_top/parts.json_image,work_activity_top.png,5
images/ui/work_activity_result/parts.json_image,work_activity_result.png,3
images/content/my_page/banner_border/event_notice.png,event_notice.png,2
images/content/gasha/bg/6ee7b2d1c1adcc09beb11fe9a8636dd7_1952.jpg,bg_1952.png,1
images/content/gasha/title/6ee7b2d1c1adcc09beb11fe9a8636dd7_1952.png,title_1952.png,1
images/ui/gasha/parts.json_image,gasha_parts.png,11
images/ui/gasha/parts_narrow_gasha_button.json_image,narrow_gasha_button.png,2
images/ui/work_activity_ready/parts.json_image,work_activity_ready.png,4
