id,name,text,trans
4001023080010,愛依,──うちは負けない,──나는 지지 않아
4001023080020,冬優子,──ふゆたちは、誰にも負けない,"──우리들은, 누구에게도 지지 않아"
4001023080030,あさひ,"──だって……
わたしたちは……","──왜냐면......
우리들은......"
0,MC,"さて！　『ゴールデンアイドルフェス』
フィナーレ目前を飾るのはこのユニット！","자 그럼! 『골든 아이돌 페스티벌』
피날레를 장식하는 건 바로 이 유닛!"
0,MC,"ユニット投票では残念ながら２位！
しかしながら歓声の大きさは負けていない！","유닛 투표에서는 아쉽게도 2위!
그러나 함성의 크기는 지지 않았다!"
0,MC,それではパフォーマンスを見せていただきましょう！,그러면 퍼포먼스를 한 번 보도록 하죠!
0,MC,──ストレイライト！,──스트레이라이트!
4001023080040,あさひ,みんな～、元気っすかー！！！,"여러분~, 잘 즐기고 있나요ー!!!"
4001023080050,あさひ,"今回の『ゴールデンアイドルフェス』
わたしたちに投票してくれた人たち、ありがとーっす！","이번 『골든 아이돌 페스티벌』
저희에게 투표해주신 분들, 감사함다!"
4001023080060,あさひ,"──ってお礼言っておけって、
冬優子ちゃんが言ってたっす！","──라고 감사를 표하라고,
후유코쨩이 말했슴다!"
4001023080070,冬優子,あーさーひーちゃん……！,아ー사ー히ー쨩......!
4001023080080,あさひ,"今回、わたしたちは２位だったみたいっす！
……１位じゃないの、すっごく悔しいっす！","이번에, 저희들은 2위였던 것 같슴다!
1위가 아닌 거, 엄청 분함다!"
4001023080090,あさひ,"だから次は、もっともっとみんなで頑張って、
絶対１位になるっすよ！","그러니까 다음에는, 더욱 더 다 같이 노력해서,
반드시 1위가 될 검다!"
4001023080100,あさひ,ね、愛依ちゃん！,"그렇잖슴까, 메이쨩!"
4001023080110,愛依,──……うん,응
4001023080120,愛依,あたしたちは、誰にも負けないから,"우리들은, 누구에게도 지지 않으니까"
4001023080130,愛依,──だって、あたしたちは……！,"──왜냐면, 우리들은......!"
0,off,"〔NEW！〕『ゴールデンアイドルフェス』で見せた
ストレイライトの新しい形","(NEW!) 『골든 아이돌 페스티벌』에서 보여준
스트레이라이트의 새로운 모습"
0,off,"先日初開催となった３社共同開催アイドルフェス
『ゴールデンアイドルフェス』が盛況のうちに終了した","최근 처음으로 개최된 3사 공동개최 아이돌 페스티벌
『골든 아이돌 페스티벌』이 성황리에 끝났다"
0,off,"ベテランから新進気鋭まで多くのアイドルが集まった
このフェスで、ラストから二番目をストレイライトが飾った","베테랑부터 신진 기예까지 많은 아이돌이 모인 이 페스티벌에서,
마지막에서 두번째 무대를 스트레이라이트가 장식했다"
0,off,"ユニット投票では優勝を逃した３人だが、
優勝ユニットに負けないパフォーマンスを披露","유닛 투표에서는 우승을 놓친 세 명이지만,
우승 유닛에 뒤쳐지지 않는 퍼포먼스를 피로"
0,off,"センター芹沢あさひ、リーダー黛冬優子はいつも通り
素晴らしいパフォーマンスだが──","센터 세리자와 아사히, 리더 마유즈미 후유코는 언제나처럼
훌륭한 퍼포먼스를 선보였지만──"
0,off,"普段からステージ上での口数が少ない和泉愛依が
この日、強く自身を主張する言葉を発した","평소 스테이지 위에서 말수가 적은 이즈미 메이가
이날, 강하게 자신을 주장하는 말을 했다"
4001023080140,愛依,『あたしたちは誰にも負けない』,『우리들은 누구에게도 지지 않아』
4001023080150,愛依,"『だって、あたしたちは最強のライバルで、
最強のユニットだから』","『왜냐하면, 우리들은 최강의 라이벌이자
최강의 유닛이니까』"
4001023080160,冬優子,──ったく……,──정말이지......
4001023080170,冬優子,"あんな堂々と『１位が良かったー』なんて、
ひんしゅく買ったらどうするつもりだったのよ","그렇게 당당하게 『1위가 좋았어ー』라니,
빈축사면 어쩔 셈이었던 거야"
4001023080180,愛依,"えー、いいじゃん
うちらの本音なんだしさ～","뭐~, 괜찮잖아
우리들의 본심인데 말야~"
4001023080190,あさひ,冬優子ちゃんは、そう思ってないんすか？,후유코쨩은 그렇게 생각 안 함까?
4001023080200,冬優子,…………,............
4001023080201,冬優子,……よく言ったって思ってるわよ,...... 잘 얘기했다고 생각하고 있어
4001023080201,あさひ＆愛依,…………！,............!
0,プロデューサー,"みんな、お疲れ様
ステージの評判、すごくよかったぞ","다들, 수고했어
스테이지 평판, 엄청 좋았다고?"
0,プロデューサー,"それで、
さっき投票の最終結果をもらってきたんだ","그래서,
아까 투표 최종결과를 받아왔어"
4001023080202,一同,！,!
0,プロデューサー,"みんなの個人票数も聞いてきたけど……
どうする？","모두의 개인 표수도 들었는데......
어떻게 할래?"
4001023080210,愛依,………………,..................
4001023080211,あさひ＆冬優子,………………,..................
4001023080220,冬優子,そんなの、どうだっていいわよ,"그런 거, 아무려면 어때"
4001023080230,愛依,え？,어?
4001023080240,あさひ,そっすね～,맞슴다~
4001023080250,愛依,"え？
あさひちゃんも！？","어?
아사히쨩도!?"
4001023080260,愛依,"なんでなんで！？
だって──……","왜 왜!?
그게──......"
4001023080270,あさひ,"愛依ちゃんは知りたいんすか？
結果","메이쨩은 알고 싶슴까?
결과"
4001023080280,愛依,"え、えっと……
そりゃあ……みんな、頑張ってたし……？","어, 으음......
그거야......다들, 열심히 하기도 했고......?"
4001023080290,愛依,"せっかくうちら勝負してたんだから、
結果、知りたいんじゃないかなー？　みたいな……？","모처럼 우리 승부했던 거니까, 
결과 알고 싶지 않을까? 같은 느낌......?"
4001023080300,冬優子,"……バカ、
ふゆたちがどうじゃなくて、あんたがどうか聞いてるのよ","바보,
우리가 어떤지가 아니라, 네가 어떤지 묻고 있는 거야"
4001023080310,冬優子,……ほんと、あんたらしいわね,"진짜로, 너답다"
4001023080320,愛依,？,?
4001023080330,あさひ,"うん
愛依ちゃんらしいっす","응
메이쨩답슴다"
4001023080340,愛依,え？,뭐?
4001023080350,愛依,"や、だってさ、ふたりともちゃんとPRして、
イベントでも頑張ってたじゃん","아니, 그게 말야, 둘 다 제대로 PR했고,
이벤트에서도 열심히 했었잖아"
4001023080360,愛依,"うちより……
全然……","나보다......
엄청......"
4001023080370,冬優子,──て、いうか,그것보다
4001023080380,冬優子,"もし、ストレイライトが１位だったとして……
そんで、そのなかでふゆが１位だったとしても……","만약, 스트레이라이트가 1위라고 쳐도......
그래서, 그중 후유가 1위였다고 해도...... "
4001023080390,冬優子,──そんな一番、ちっとも嬉しくないんだから,"──그런 1위, 조금도 기쁘지 않으니까"
4001023080400,冬優子,"ふゆはね、あんたたちと真っ向から戦って勝ちたいんだから
譲ってもらった勝ちになんて、意味ないの","후유는 말야, 너희들과 정면에서 싸워서 이기고 싶으니까
양도받은 승리같은 거, 의미 없어"
4001023080410,愛依,譲ってもらった……？,양도받아......?
4001023080420,あさひ,そっすね,그렇네요
4001023080430,あさひ,"ゲームは公平な方が楽しいっすから
フェアにやって勝たないとダメっす","게임은 공평한 게 즐거우니까
페어하게 해서 이기지 않으면 안 됨다"
