id,name,text,trans
3005004040010,咲耶,"こっちにも材料があるから渡しておくよ、
これが恋鐘の分、こっちは結華のだね","이쪽에도 재료 있으니깐 넘길게
이게 코가네 거, 이쪽은 유이카 거네"
3005004040020,結華,"ありがとう
はい、こっちはきりりんの分","고마워
자, 이건 키리링 거"
3005004040030,霧子,"あ、ありがとう……ふふ、かわいい……♪
さっきの、アームカバーとも……よく合いそう……","고, 고마워...후후, 귀여워...♪
방금건 암 커버랑도...잘 어울릴거같아..."
3005004040040,咲耶,"ふふ、本当にそうだね。自分の分も気に入ってるが──
霧子の衣装にも、目移りしてしまいそうだ","후후, 정말 그렇네. 내 거도 마음에 들지만-
키리코의 의상에도 눈이 가버리는걸"
3005004040050,摩美々,"……まぁ、材料が余ったらぁ
使えばいいんじゃないのー","...뭐, 재료가 남는다면-
써버리면 되잖아-"
3005004040060,結華,はーい,네에-
3005004040070,結華,ってちょっとこがたん！　それ裏表反対っ！,...가 아니라 코가땅 잠깐! 그거 앞뒤가 반대야!
3005004040080,恋鐘,"えーっ！　……あ、でもこがんしたらかわいくなるけん、
これでいくばい！","뭐-! ...아, 그래도 이래하니 귀여워졌구마.
이대로 간대이!"
3005004040090,摩美々,"んー……まぁ、恋鐘がいいなら、
それでいいケド","음-...뭐, 코가네가 좋다면
그거로 상관없지만"
3005004040100,摩美々,咲耶の方はどうー？,사쿠야쪽은 어때-?
3005004040110,咲耶,霧子に、手伝ってもらっていたよ,키리코가 도와주고있었어
3005004040120,咲耶,"ありがとう、霧子
うしろの方はなかなか手が届かなくてね","고마워, 키리코
뒤쪽은 아무래도 손이 닿질 않아서"
3005004040130,霧子,"う、うん
こんなことでよければ……いくらでも……！","으, 응
이정도 일이라면...언제든지...!"
3005004040140,摩美々,ふーん、いいんじゃないかなぁ,"흐-응, 괜찮잖아-"
3005004040150,霧子,"ふふ……
あ……あの、摩美々ちゃん","후후...
저...저기 마미미쨩"
3005004040160,霧子,"スカートの……丈なんだけど……
長さは、どのくらいがいい……かな？","스커트...기장말인데...
길이는 어느정도가...좋을까?"
3005004040170,摩美々,"んー、霧子の全体の雰囲気だと……
膝を出すほうがキレイに見えるしー、ここかなぁ","음-, 키리코의 전체적인 분위기로 보자면...
무릎이 나오는게 이쁘게 보일 거 같으니깐-. 이쯤이려나-"
3005004040180,霧子,"そっか……ありがとう
調整してみるね……！","그렇구나...고마워
조정해볼게...!"
3005004040190,結華,"ねーまみみーん！　この箱の中のチャームって
使っていいんだよねー？","저기-, 마미밍-! 여기 상자에 들어있는 장식
써도 되는거지-?"
3005004040200,摩美々,"そうだねー……三峰の衣装とはぁ、
一番上に乗ってるのが、相性いいかなぁ","그렇네-...미츠미네의 의상이랑은-
가장 위에 있는게 상성이 좋으려나-"
3005004040210,結華,わかった、ありがとう！,"알았어, 고마워!"
