id,name,text,trans
0,プロデューサー,"すまないな、真乃。撮影で疲れてるのに寄り道なんて……
もうじき着くから……あと少しだけ付き合ってくれ","미안해, 마노. 촬영으로 지쳤을텐데 다른 곳에 들려서... 이제 곧 도착하니까... 앞으로 조금만 더 어울려줘"
4901007020010,真乃,"はいっ。……いつも私ばかりお世話になっているので、
プロデューサーさんにお付き合いできるのがうれしいですっ","넵. …언제나 제 쪽만 신세를 지고 있기에, 프로듀서님에게 어울려 줄 수 있는게 기뻐요"
4901007020020,真乃,"……ほわぁ────
プロデューサーさん……ここ……っ",...호와아프로듀서님... 여긴...
0,プロデューサー,"ああ、イルミネーションが綺麗って有名らしくてな
今日の現場から遠くない場所だし、真乃に見せようと思って","아아, 일루미네이션이 예쁘기로 유명해서 말야 오늘의 현장에서 멀지 않은 곳이고, 마노에게 보여줄까 생각해서"
4901007020030,真乃,"──ここ、私……
私、一度でいいから来てみたかったんですっ","여기, 저... 저, 한번이라도 좋으니까 와 보고 싶었어요"
4901007020040,真乃,"プロデューサーさん、
私がここに来たかったこと知ってたんですか……っ","프로쥬서님, 제가 여기에 오고 싶어했단 걸 알고 계셨나요..."
4901007020050,真乃,"──ほわぁ…………っ
ありがとうございますっ、プロデューサーさんっ","호와아... 감사합니다, 프로듀서님"
info,special_communications/490100702.json,
译者,,
